ID,ARCHIVO,CATEGORÍA,SUBCATEGORÍA,TEMA,TEXTO,DIMENSIONES,TRANSPARENCIA,ORIGINAL_BASE,VARIANTE
01-funcionales-005-sky-02,output\stickers\01-funcionales\01-estrella-sky-02.png,FUNCIONALES,texto,sky,estrella,900x450,RGBA,01-funcionales-005-estilo-02,sky
01-funcionales-005-sand-02,output\stickers\01-funcionales\01-estrella-sand-02.png,FUNCIONALES,texto,sand,estrella,900x450,RGBA,01-funcionales-005-estilo-02,sand
01-funcionales-005-neutral-02,output\stickers\01-funcionales\01-estrella-neutral-02.png,FUNCIONALES,texto,neutral,estrella,900x450,RGBA,01-funcionales-005-estilo-02,neutral
01-funcionales-005-multicolor-02,output\stickers\01-funcionales\01-estrella-multicolor-02.png,FUNCIONALES,texto,multicolor,estrella,900x450,RGBA,01-funcionales-005-estilo-02,multicolor
01-funcionales-005-lavender-03,output\stickers\01-funcionales\01-estrella-lavender-03.png,FUNCIONALES,texto,lavender,estrella,900x450,RGBA,01-funcionales-005-estilo-03,lavender
01-funcionales-005-blush-03,output\stickers\01-funcionales\01-estrella-blush-03.png,FUNCIONALES,texto,blush,estrella,900x450,RGBA,01-funcionales-005-estilo-03,blush
01-funcionales-005-sage-03,output\stickers\01-funcionales\01-estrella-sage-03.png,FUNCIONALES,texto,sage,estrella,900x450,RGBA,01-funcionales-005-estilo-03,sage
01-funcionales-005-sky-03,output\stickers\01-funcionales\01-estrella-sky-03.png,FUNCIONALES,texto,sky,estrella,900x450,RGBA,01-funcionales-005-estilo-03,sky
01-funcionales-005-sand-03,output\stickers\01-funcionales\01-estrella-sand-03.png,FUNCIONALES,texto,sand,estrella,900x450,RGBA,01-funcionales-005-estilo-03,sand
01-funcionales-005-neutral-03,output\stickers\01-funcionales\01-estrella-neutral-03.png,FUNCIONALES,texto,neutral,estrella,900x450,RGBA,01-funcionales-005-estilo-03,neutral
01-funcionales-005-multicolor-03,output\stickers\01-funcionales\01-estrella-multicolor-03.png,FUNCIONALES,texto,multicolor,estrella,900x450,RGBA,01-funcionales-005-estilo-03,multicolor
01-funcionales-006-lavender-01,output\stickers\01-funcionales\01-corazon-lavender-01.png,FUNCIONALES,texto,lavender,corazón,900x450,RGBA,01-funcionales-006-estilo-01,lavender
01-funcionales-006-blush-01,output\stickers\01-funcionales\01-corazon-blush-01.png,FUNCIONALES,texto,blush,corazón,900x450,RGBA,01-funcionales-006-estilo-01,blush
01-funcionales-006-sage-01,output\stickers\01-funcionales\01-corazon-sage-01.png,FUNCIONALES,texto,sage,corazón,900x450,RGBA,01-funcionales-006-estilo-01,sage
01-funcionales-006-sky-01,output\stickers\01-funcionales\01-corazon-sky-01.png,FUNCIONALES,texto,sky,corazón,900x450,RGBA,01-funcionales-006-estilo-01,sky
01-funcionales-006-sand-01,output\stickers\01-funcionales\01-corazon-sand-01.png,FUNCIONALES,texto,sand,corazón,900x450,RGBA,01-funcionales-006-estilo-01,sand
01-funcionales-006-neutral-01,output\stickers\01-funcionales\01-corazon-neutral-01.png,FUNCIONALES,texto,neutral,corazón,900x450,RGBA,01-funcionales-006-estilo-01,neutral
01-funcionales-006-multicolor-01,output\stickers\01-funcionales\01-corazon-multicolor-01.png,FUNCIONALES,texto,multicolor,corazón,900x450,RGBA,01-funcionales-006-estilo-01,multicolor
01-funcionales-006-lavender-02,output\stickers\01-funcionales\01-corazon-lavender-02.png,FUNCIONALES,texto,lavender,corazón,900x450,RGBA,01-funcionales-006-estilo-02,lavender
01-funcionales-006-blush-02,output\stickers\01-funcionales\01-corazon-blush-02.png,FUNCIONALES,texto,blush,corazón,900x450,RGBA,01-funcionales-006-estilo-02,blush
01-funcionales-006-sage-02,output\stickers\01-funcionales\01-corazon-sage-02.png,FUNCIONALES,texto,sage,corazón,900x450,RGBA,01-funcionales-006-estilo-02,sage
01-funcionales-006-sky-02,output\stickers\01-funcionales\01-corazon-sky-02.png,FUNCIONALES,texto,sky,corazón,900x450,RGBA,01-funcionales-006-estilo-02,sky
01-funcionales-006-sand-02,output\stickers\01-funcionales\01-corazon-sand-02.png,FUNCIONALES,texto,sand,corazón,900x450,RGBA,01-funcionales-006-estilo-02,sand
01-funcionales-006-neutral-02,output\stickers\01-funcionales\01-corazon-neutral-02.png,FUNCIONALES,texto,neutral,corazón,900x450,RGBA,01-funcionales-006-estilo-02,neutral
01-funcionales-006-multicolor-02,output\stickers\01-funcionales\01-corazon-multicolor-02.png,FUNCIONALES,texto,multicolor,corazón,900x450,RGBA,01-funcionales-006-estilo-02,multicolor
01-funcionales-006-lavender-03,output\stickers\01-funcionales\01-corazon-lavender-03.png,FUNCIONALES,texto,lavender,corazón,900x450,RGBA,01-funcionales-006-estilo-03,lavender
01-funcionales-006-blush-03,output\stickers\01-funcionales\01-corazon-blush-03.png,FUNCIONALES,texto,blush,corazón,900x450,RGBA,01-funcionales-006-estilo-03,blush
01-funcionales-006-sage-03,output\stickers\01-funcionales\01-corazon-sage-03.png,FUNCIONALES,texto,sage,corazón,900x450,RGBA,01-funcionales-006-estilo-03,sage
01-funcionales-006-sky-03,output\stickers\01-funcionales\01-corazon-sky-03.png,FUNCIONALES,texto,sky,corazón,900x450,RGBA,01-funcionales-006-estilo-03,sky
01-funcionales-006-sand-03,output\stickers\01-funcionales\01-corazon-sand-03.png,FUNCIONALES,texto,sand,corazón,900x450,RGBA,01-funcionales-006-estilo-03,sand
01-funcionales-006-neutral-03,output\stickers\01-funcionales\01-corazon-neutral-03.png,FUNCIONALES,texto,neutral,corazón,900x450,RGBA,01-funcionales-006-estilo-03,neutral
01-funcionales-006-multicolor-03,output\stickers\01-funcionales\01-corazon-multicolor-03.png,FUNCIONALES,texto,multicolor,corazón,900x450,RGBA,01-funcionales-006-estilo-03,multicolor
01-funcionales-007-lavender-01,output\stickers\01-funcionales\01-bandera-lavender-01.png,FUNCIONALES,texto,lavender,bandera,900x450,RGBA,01-funcionales-007-estilo-01,lavender
01-funcionales-007-blush-01,output\stickers\01-funcionales\01-bandera-blush-01.png,FUNCIONALES,texto,blush,bandera,900x450,RGBA,01-funcionales-007-estilo-01,blush
01-funcionales-007-sage-01,output\stickers\01-funcionales\01-bandera-sage-01.png,FUNCIONALES,texto,sage,bandera,900x450,RGBA,01-funcionales-007-estilo-01,sage
01-funcionales-007-sky-01,output\stickers\01-funcionales\01-bandera-sky-01.png,FUNCIONALES,texto,sky,bandera,900x450,RGBA,01-funcionales-007-estilo-01,sky
01-funcionales-007-sand-01,output\stickers\01-funcionales\01-bandera-sand-01.png,FUNCIONALES,texto,sand,bandera,900x450,RGBA,01-funcionales-007-estilo-01,sand
01-funcionales-007-neutral-01,output\stickers\01-funcionales\01-bandera-neutral-01.png,FUNCIONALES,texto,neutral,bandera,900x450,RGBA,01-funcionales-007-estilo-01,neutral
01-funcionales-007-multicolor-01,output\stickers\01-funcionales\01-bandera-multicolor-01.png,FUNCIONALES,texto,multicolor,bandera,900x450,RGBA,01-funcionales-007-estilo-01,multicolor
01-funcionales-007-lavender-02,output\stickers\01-funcionales\01-bandera-lavender-02.png,FUNCIONALES,texto,lavender,bandera,900x450,RGBA,01-funcionales-007-estilo-02,lavender
01-funcionales-007-blush-02,output\stickers\01-funcionales\01-bandera-blush-02.png,FUNCIONALES,texto,blush,bandera,900x450,RGBA,01-funcionales-007-estilo-02,blush
01-funcionales-007-sage-02,output\stickers\01-funcionales\01-bandera-sage-02.png,FUNCIONALES,texto,sage,bandera,900x450,RGBA,01-funcionales-007-estilo-02,sage
01-funcionales-007-sky-02,output\stickers\01-funcionales\01-bandera-sky-02.png,FUNCIONALES,texto,sky,bandera,900x450,RGBA,01-funcionales-007-estilo-02,sky
01-funcionales-007-sand-02,output\stickers\01-funcionales\01-bandera-sand-02.png,FUNCIONALES,texto,sand,bandera,900x450,RGBA,01-funcionales-007-estilo-02,sand
01-funcionales-007-neutral-02,output\stickers\01-funcionales\01-bandera-neutral-02.png,FUNCIONALES,texto,neutral,bandera,900x450,RGBA,01-funcionales-007-estilo-02,neutral
01-funcionales-007-multicolor-02,output\stickers\01-funcionales\01-bandera-multicolor-02.png,FUNCIONALES,texto,multicolor,bandera,900x450,RGBA,01-funcionales-007-estilo-02,multicolor
01-funcionales-007-lavender-03,output\stickers\01-funcionales\01-bandera-lavender-03.png,FUNCIONALES,texto,lavender,bandera,900x450,RGBA,01-funcionales-007-estilo-03,lavender
01-funcionales-007-blush-03,output\stickers\01-funcionales\01-bandera-blush-03.png,FUNCIONALES,texto,blush,bandera,900x450,RGBA,01-funcionales-007-estilo-03,blush
01-funcionales-007-sage-03,output\stickers\01-funcionales\01-bandera-sage-03.png,FUNCIONALES,texto,sage,bandera,900x450,RGBA,01-funcionales-007-estilo-03,sage
01-funcionales-007-sky-03,output\stickers\01-funcionales\01-bandera-sky-03.png,FUNCIONALES,texto,sky,bandera,900x450,RGBA,01-funcionales-007-estilo-03,sky
01-funcionales-007-sand-03,output\stickers\01-funcionales\01-bandera-sand-03.png,FUNCIONALES,texto,sand,bandera,900x450,RGBA,01-funcionales-007-estilo-03,sand
